idx,description
1,Grasps the water container (like a glass or a bottle) securely
2,Holds utensils (like a fork or spoon) to pick up and guide food into the mouth
3,Holds the toothbrush firmly and controls its movements
4,Holds the hairbrush firmly and controls its movements
5,May release the object accidentally or intentionally
6,Reaches out and grasps the object firmly
7,Grasps the object securely and provides the force for the throw
8,"Can reach for a surface or support, such as a chair or a nearby object, to aid in the sitting process"
9,"May push off a surface, such as a chair or the ground, for support"
10,Strikes together in a rhythmic motion to create the clapping sound
11,"Holds the book, tablet, or other reading material, turning pages as necessary"
12,"Holds the writing tool (pen, pencil, etc.) and guides it across the paper or screen"
13,Grasps the paper firmly and applies pressure to tear it
14,Grasps the edges of the jacket collar or sleeves to guide them onto the arms
15,Grasps the edges of the jacket or reaches for the zipper to start the removal process
16,Grabs the shoe and holds it steady while guiding the foot into it
17,Reaches down to grasp the shoe and holds it steady while guiding it off the foot
18,Grasps the glasses by the frames or temples
19,Grasps the glasses by the frames or temples
20,"Holds the hat by its brim or crown, preparing to place it on the head"
21,"Grasps the hat by its brim or crown, preparing to lift it off"
22,Raises into the air or claps together enthusiastically
23,"Moves back and forth in a greeting gesture, typically with the palm facing outward"
24,"Often remains by the side or may be used for balance, especially if the kick requires precision or power"
25,"Extends towards the pocket, fingers ready to grasp whatever is inside"
26,"Often stays by the side for balance, but may move slightly to aid in stabilizing the body"
27,Often stays by the side or may swing slightly for balance during the jump
28,"Holds the phone securely, bringing it to the ear or holding it in front of the mouth"
29,"Holds the phone or tablet securely and controls its movements, such as tapping or swiping"
30,Moves fingers to press keys on the keyboard
31,"Extends the index finger towards the object, pointing in its direction"
32,"Holds the phone or camera at arm's length, ready to take the photo"
33,Raises and rotates the wrist to bring the watch face into view
34,"Rubs against the other hand, creating friction and warmth"
35,"Typically remains by the side or may be used for balance, especially during a deep bow"
36,"Typically remains by the side or may be used for balance, especially if the shaking motion is vigorous"
37,"Holds a tissue, cloth, or handkerchief and makes contact with the face to wipe away sweat, dirt, or moisture"
38,"Raises to the forehead or eyebrow level, with fingers extended and held together"
39,"Brings both palms together, fingers aligned and facing each other"
40,"Crosses one hand over the other, fingers may interlace or rest on the opposite arm"
41,"Can cover the mouth and nose to contain the sneeze or cough, or may be used to hold a tissue or handkerchief"
42,May reach out for support or attempt to stabilize the body by grasping onto nearby objects
43,Can reach out in an attempt to grab onto something for support or to break the fall
44,Can be used to hold the head or apply pressure to specific areas to relieve discomfort
45,Might clutch at the chest or move towards it in an attempt to alleviate or gauge the severity of the pain
46,Might reach back to touch or support the affected area of the back
47,Might reach up to gently massage or support the neck
48,Can cover the mouth or hold onto a container for vomiting
49,Holds the fan and moves it back and forth in front of the face or body
50,"Makes contact with the target area with force, whether in a closed fist for punching or an open palm for slapping"
51,"Often remains by the side for balance, but may move to guard the face or aid in stability"
52,Applies force against the object or person being pushed
53,Makes contact with the other person's back in a gentle tapping motion
54,"Extends the index finger outward, pointing in the desired direction"
55,"Typically wraps around the other person's back, shoulder, or waist"
56,"Offers the object to the recipient, extending it towards them"
57,Moves towards the pocket to feel or retrieve something inside
58,"Extends forward to meet the other person's hand, clasping firmly for the handshake"
59,Swings naturally at the sides or may be used for balance
60,Can hang loosely at the sides or may swing naturally with the movement
