idx,description
1,"Head: Tilts slightly back to allow the water to flow down the throat; Hand: Grasps the water container (like a glass or a bottle) securely; Arm: Raises the water container towards the mouth for drinking; Hip: Maintains balance and stability while drinking; Leg: May shift weight slightly to support the body's position; Foot: May adjust position for stability, especially if standing or walking while drinking."
2,"Head: Bends slightly forward to bring the food closer to the mouth; Hand: Holds utensils (like a fork or spoon) to pick up and guide food into the mouth; Arm: Lifts the utensil or brings food to the mouth; Hip: Provides stability and balance while seated or standing during the meal; Leg: May shift position slightly for comfort or to support the body's weight; Foot: Remains planted or adjusts position for stability, especially when seated."
3,"Head: Leans over the sink to allow access to the mouth and keep toothpaste from dripping; Hand: Holds the toothbrush firmly and controls its movements; Arm: Guides the toothbrush in circular or back-and-forth motions to clean all teeth surfaces; Hip: Maintains balance and stability while standing at the sink; Leg: May shift weight slightly for comfort or support during brushing; Foot: Remains grounded or may adjust position for stability, especially if standing on one foot while brushing."
4,"Head: May tilt slightly forward or to the side to allow better access to different sections of the hair; Hand: Holds the hairbrush firmly and controls its movements; Arm: Guides the hairbrush through the hair, brushing from root to tip; Hip: Provides stability and balance while standing or sitting during brushing; Leg: May shift weight slightly for comfort or support during brushing; Foot: Remains planted or may adjust position for stability, especially if standing while brushing hair."
5,Head: Might instinctively turn to look at the object as it falls; Hand: May release the object accidentally or intentionally; Arm: Can move in a reflexive motion to attempt to catch or break the fall of the object; Hip: May shift slightly in reaction to the movement of the arm; Leg: Might adjust position to provide stability or to move out of the way of the falling object; Foot: Could also shift position for stability or to avoid the falling object; 
6,"Head: May glance down to locate the object; Hand: Reaches out and grasps the object firmly; Arm: Extends toward the object to facilitate picking it up; Hip: May shift slightly to provide balance and support during the motion of picking up the object; Leg: Might bend at the knee to lower the body closer to the object; Foot: Can adjust position for stability, especially if balancing on one foot while picking up the object."
7,"Head: Often turns to focus on the target or the direction of the throw; Hand: Grasps the object securely and provides the force for the throw; Arm: Swings backward to generate momentum, then moves forward quickly to release the object; Hip: Rotates slightly to transfer power from the lower body to the throwing arm; Leg: May step forward or push off the ground to add force to the throw; Foot: Provides stability and balance during the throwing motion, often pivoting or pushing off the ground for additional power."
8,"Head: May tilt slightly forward or remain upright as the body lowers; Hand: Can reach for a surface or support, such as a chair or a nearby object, to aid in the sitting process; Arm: May extend backward to support the body's weight or reach for the seat, then relaxes as the body settles into the sitting position; Hip: Bends at the hip joint to lower the torso toward the seat; Leg: Bends at the knee joint as the body descends into the seated position; Foot: Can adjust position for stability, often remaining flat on the ground or lifting slightly as the weight shifts."
9,"Head: Lifts slightly, often turning to look in the direction of movement; Hand: May push off a surface, such as a chair or the ground, for support; Arm: Assists in pushing the body upward by pushing off a surface or swinging upward for balance; Hip: Straightens as the body lifts, providing support and stability; Leg: Extends at the knee joint, lifting the body's weight; Foot: Pushes against the ground to provide leverage for standing, with the heel often lifting first followed by the rest of the foot."
10,"Head: Generally faces forward, but may turn slightly towards the direction of the applause; Hand: Strikes together in a rhythmic motion to create the clapping sound; Arm: Swings back and forth to bring the hands together for each clap; Hip: Usually remains stationary during clapping, providing stability to the upper body; Leg: May slightly shift weight from one leg to the other for balance; Foot: Typically remains planted on the ground, providing stability while clapping."
11,"Head: Usually faces forward, with eyes scanning the text on the page or screen; Hand: Holds the book, tablet, or other reading material, turning pages as necessary; Arm: Supports the weight of the book or device and may turn pages or scroll; Hip: Maintains a comfortable sitting or standing position while reading; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, supporting the leg and body while reading."
12,"Head: Often leans slightly forward or to the side, focusing on the writing surface; Hand: Holds the writing tool (pen, pencil, etc.) and guides it across the paper or screen; Arm: Moves in conjunction with the hand, providing support and control for writing; Hip: Typically remains stationary, providing stability while seated or standing; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Generally remains in place, supporting the leg and body while writing."
