idx,description
1,Hand lifts a container from a low position up toward the mouth then lowers it back down.
2,Hand moves food from a plate or container up toward the mouth repeatedly.
3,Hand moves a small object back and forth in front of the mouth.
4,Hand moves an object repeatedly downward through the hair from the scalp outward.
5,An object falls from the hand straight down toward the ground.
6,"Body bends down and a hand closes around a loose object on the ground, then straightens back up carrying it away, the feet themselves untouched throughout."
7,Arm swings forward and releases an object away from the body.
8,Body lowers from a standing position down onto a seat.
9,Body rises from a seated position up to standing.
10,Both hands move toward each other and strike together repeatedly.
11,"Head stays lowered toward a held object, eyes scanning it, hands remaining still and the object staying fully intact throughout."
12,"One hand moves in small repeated strokes across a surface, the held object staying flat and intact, never torn or pulled apart."
13,"Both hands grip opposite edges of a sheet and pull sharply apart, ripping it into separate pieces."
14,Arms move backward and up into openings pulling a garment from beside the body onto the torso.
15,Arms move backward and down sliding a garment off the torso and away from the body.
16,"Body bends down and a hand fits an object directly onto the person's own foot, the foot remaining the fixed target of the motion."
17,"Fingers hook around the heel and yank an object free of the foot, leaving it bare."
18,Hand lifts an object from beside the body up onto the face.
19,Hand lifts an object off the face and moves it away downward.
20,An object descends from a raised hand and settles over the scalp.
21,"Fingers grip the brim and pull an object upward and clear of the head, exposing it."
22,Arms rise upward and move outward from the body body posture opens.
23,One hand rises and moves side to side above shoulder height.
24,Leg swings forward away from the body toward a low object.
25,Hand moves toward the body's own hip and enters the pocket area.
26,Body repeatedly rises and lowers on one leg staying roughly in place.
27,Body pushes off the ground and rises upward with both feet leaving the floor.
28,Hand rises from beside the body up to the ear and stays there.
29,Hands stay low in front of the torso fingers move repeatedly over a held object.
30,Both hands stay low in front of the body fingers move rapidly downward in small repeated taps.
31,Arm extends outward away from the body toward a fixed external point.
32,Arm extends outward and slightly upward holding an object angled back toward the actor's own face.
33,Arm bends wrist rises toward the face and pauses briefly.
34,Both hands move against each other repeatedly at chest height.
35,Head and upper torso lower forward repeatedly then return upward.
36,Head turns repeatedly from side to side staying in place.
37,Hand moves repeatedly across the face staying close to it.
38,Hand rises from beside the body up to the side of the head and pauses.
39,Both hands move toward each other and press together at chest height.
40,Both arms extend forward and cross over one another staying in front of the body.
41,Upper body jerks forward briefly hand may rise toward the mouth.
42,Body sways unevenly from side to side while moving forward.
43,Body loses balance and drops rapidly downward toward the ground.
44,Hand rises from beside the body up to the head and stays there.
45,Hand moves from beside the body inward to the chest and stays there.
46,Hand reaches behind the torso toward the lower back and stays there.
47,Hand rises from beside the body up to the neck and stays there.
48,Upper body bends forward and down repeatedly hand may move toward the mouth.
49,Hand moves repeatedly back and forth near the face.
50,Arm extends outward from the body toward another person's body.
51,Leg swings outward from the body toward another person.
52,Both hands extend outward from the body and press against another person moving them away.
53,Hand extends outward and taps repeatedly on another person's back.
54,Arm extends outward from the body toward another person finger held out.
55,Both arms extend outward and wrap around another person bodies move toward each other.
56,Arm extends outward moving an object from the actor's own hand toward another person.
57,Hand extends outward across the space between two bodies and touches the other person's hip area.
58,One hand extends outward toward another person's hand and grips it briefly.
59,"Two people walk with a steady, upright, deliberate stride, the gap between them shrinking as they approach each other."
60,"Two people walk with a steady, upright, deliberate stride, the gap between them widening as they move apart."
