idx,dcp
1,"""Elbow flexion, wrist supination, shoulder adduction during hand-mouth coordination."""
2,"""Jaw depression, finger flexion, forearm pronation during food-hand-oral coordination."""
3,"""Hand circumduction, wrist extension during toothbrush-hand-oral cavity coordination."""
4,"""Elbow extension, wrist flexion and supination, shoulder adduction and flexion."""
5,"""Knee and hip flexion, ankle dorsiflexion, spine flexion, elbow extension."""
6,"""Spine extension, knee extension, ankle plantarflexion, elbow flexion."""
7,"""Shoulder flexion and abduction, wrist extension, forearm supination."""
8,"""Hip and knee flexion, ankle dorsiflexion; lumbar spine experiences slight flexion."""
9,"""Extension of the knee and hip joints; lumbar spine undergoes slight extension."""
10,"""Simultaneous elbow extension and wrist adduction of both arms, then flexion."""
11,"""Eye saccades, neck flexion and rotation, finger flexion, wrist supination."""
12,"""Elbow extension, shoulder adduction, hand pronation, digit flexion and extension."""
13,"""Elbow extension, wrist flexion, finger flexion and shoulder adduction occur."""
14,"""Shoulder flexion, wrist supination, and hip lateral rotation are observed."""
15,"""Elbow flexion, shoulder abduction, and wrist pronation are demonstrated."""
16,"""Ankle dorsiflexion, knee flexion, hip flexion, and toe extension."""
17,"""Ankle plantarflexion, knee extension, hip extension, and toe flexion."""
18,"""Finger flexion, forearm pronation, and cervical extension and lateral flexion."""
19,"""Digit extension, forearm supination, and neck flexion with slight rotation."""
20,"""Shoulder abduction, radial deviation, and wrist extension with slight humeral rotation."""
21,"""Shoulder flexion, ulnar deviation, and elbow extension with slight wrist flexion."""
22,"""Repeated shoulder abduction and knee flexion, with occasional head nodding."""
23,"""Alternating wrist flexion and extension, with slight forearm supination and pronation."""
24,"""Hip flexion, knee extension, and ankle plantarflexion in rapid succession."""
25,"""Shoulder adduction, elbow extension, wrist flexion for hand to enter pocket."""
26,"""Ankle dorsiflexion, knee flexion, and hip extension on a single leg."""
27,"""Simultaneous bilateral knee flexion, followed by forceful knee and hip extension."""
28,"""Elbow flexion, wrist supination, shoulder adduction, and finger flexion."""
29,"""Thumb opposition, wrist flexion, and shoulder abduction during device manipulation."""
30,"""Finger abduction and adduction, wrist extension, forearm pronosupination."""
31,"""Shoulder abduction, finger extension, and wrist ulnar deviation to point."""
32,"""Forearm pronation, cervical extension, and shoulder flexion for camera positioning."""
33,"""Elbow flexion, wrist pronation, and neck lateral flexion to check watch."""
34,"""Bilateral wrist circumduction, elbow extension, and slight finger flexion occur."""
35,"""Cervical vertebrae flexion and extension in a vertical, nodding motion."""
36,"""Horizontal rotation of the atlantoaxial joint, in a lateral swaying motion."""
37,"""Elbow extension, shoulder abduction, wrist flexion and pronation to face."""
38,"""Forearm supination, humerus elevation, and radial deviation towards forehead."""
39,"""Simultaneous shoulder adduction and forearm pronation, with hand supination."""
40,"""Concurrent elbow flexion and forearm supination with shoulder horizontal adduction."""
41,"""Head flexion, shoulder elevation, elbow extension, and wrist flexion occur."""
42,"""Alternating hip flexion and knee extension, with unsteady ankle dorsiflexion."""
43,"""Sudden spinal flexion accompanied by abrupt shoulder and elbow flexion."""
44,"""Elbow flexion, shoulder abduction, wrist pronation towards the head."""
45,"""Forearm supination, humeral adduction, wrist flexion towards the chest."""
46,"""Spinal flexion, scapular retraction, elbow extension towards the back."""
47,"""Radial deviation, cervical flexion, arm elevation towards the neck."""
48,"""Torso flexion, knee flexion, and neck extension are prominent."""
49,"Elbow flexion, wrist abduction, and finger flexion for fanning motion."
50,"""Shoulder flexion, elbow extension, wrist pronation during forceful forward arm swing."""
51,"""Hip flexion, knee extension, ankle dorsiflexion during forceful leg thrust."""
52,"""Scapular retraction, elbow extension, hand supination during forceful chest-level thrust."""
53,"""Shoulder flexion, elbow extension, and wrist pronation for hand contact."""
54,"""Elbow extension, wrist extension, and metacarpophalangeal joint flexion."""
55,"""Bilateral shoulder extension, elbow flexion, and wrist adduction for embrace."""
56,"""Unilateral shoulder flexion, elbow extension, and wrist supination for handoff."""
57,"""Hip rotation, knee extension, finger abduction to touch another's pocket."""
58,"""Forearm supination, wrist flexion, and interphalangeal joint extension for grip."""
59,"""Hip flexion, knee extension, ankle dorsiflexion in alternating, forward pattern."""
60,"""Shoulder abduction, elbow extension, wrist flexion in a diverging, backward pattern."""
