idx,description
1,Raises the water container towards the mouth for drinking
2,Lifts the utensil or brings food to the mouth
3,Guides the toothbrush in circular or back-and-forth motions to clean all teeth surfaces
4,"Guides the hairbrush through the hair, brushing from root to tip"
5,Can move in a reflexive motion to attempt to catch or break the fall of the object
6,Extends toward the object to facilitate picking it up
7,"Swings backward to generate momentum, then moves forward quickly to release the object"
8,"May extend backward to support the body's weight or reach for the seat, then relaxes as the body settles into the sitting position"
9,Assists in pushing the body upward by pushing off a surface or swinging upward for balance
10,Swings back and forth to bring the hands together for each clap
11,Supports the weight of the book or device and may turn pages or scroll
12,"Moves in conjunction with the hand, providing support and control for writing"
13,"Moves in a controlled motion to tear the paper, using strength and coordination"
14,"Slides into the sleeves of the jacket one at a time, with the hand leading the way"
15,"Pulls one arm out of the sleeve at a time, with the hand leading the way"
16,May assist by holding the shoe or offering support to maintain balance
17,May assist by holding the shoe or offering support to maintain balance
18,"Raises the glasses towards the face, positioning them in front of the eyes"
19,"Lowers the glasses away from the face, allowing them to be taken off"
20,"Lifts the hat towards the head, guiding it into position"
21,"Raises the hat away from the head, guiding it off"
22,Extends upward or outward in celebration
23,"Swings in conjunction with the hand, helping to propel the waving motion"
24,"Can swing slightly for balance or momentum, but primarily stays by the side"
25,"Moves in conjunction with the hand, guiding it into the pocket"
26,Can swing gently to assist in maintaining balance while hopping
27,Can swing gently to aid in propulsion and balance during the jump
28,Supports the weight of the phone and may adjust its position for comfort during the call
29,Supports the weight of the device and may adjust its position for comfort during use
30,Supports the weight of the hand and provides stability during typing
31,"Moves in conjunction with the hand, guiding it to point accurately"
32,"Extends outward to hold the phone or camera, positioning it for the selfie"
33,"Moves in conjunction with the hand, positioning the watch for easy viewing"
34,"Moves in coordination with the hands, providing the motion for rubbing"
35,"Can hang by the side or may be placed across the chest, depending on the depth of the bow"
36,Can hang by the side or may move slightly to accompany the motion of the head
37,"Moves the hand in a gentle wiping motion across the face, covering areas like the forehead, cheeks, or chin"
38,Lifts the hand in a swift and straight motion towards the head
39,"Moves the hands towards each other, bringing the palms together"
40,"Crosses one arm over the other, typically at the wrists or forearms"
41,Moves in conjunction with the hand to cover the mouth and nose
42,Can swing or flail in an uncoordinated manner as the body tries to regain balance
43,May flail or extend outward in an instinctive effort to regain balance or cushion the fall
44,May reach for medication or a cold compress to help alleviate the headache
45,Can support the body or be used to hold onto nearby objects for stability
46,Can assist in supporting the body or reaching for objects to help alleviate the pain
47,Can assist in supporting the head or reaching for objects to help alleviate the pain
48,May extend to support the body or hold onto nearby objects for stability
49,"Moves in conjunction with the hand, providing the motion for fanning"
50,"Extends outward to deliver the punch or slap, with the shoulder providing power and momentum"
51,Can swing in the opposite direction of the kick for balance or can be used for defense
52,Extends outward to transfer the force from the hand to the target
53,Moves in conjunction with the hand to deliver the pat on the back
54,Moves in conjunction with the hand to guide the pointing motion
55,"Encircles the other person in a gentle embrace, often crossing over their back"
56,Moves in conjunction with the hand to deliver the object to the recipient
57,"Extends to reach the pocket, guiding the hand towards it"
58,"Moves in conjunction with the hand, extending forward to meet the other person's hand"
59,Swings in coordination with the opposite leg to maintain balance and rhythm
60,"Typically swings in rhythm with the opposite leg, aiding in balance and momentum"
