idx,description
1,lift a cup to the mouth then tilt the head back
2,carry food to the mouth with fingers or utensil then chew
3,move a small object over the teeth repeatedly near the mouth
4,move the hand down through the hair from scalp to ends repeatedly
5,open the fingers and let an object fall straight down
6,"bend the hips and knees, close the fingers around an object low, then straighten back up"
7,swing the arm back then forward and release an object
8,bend hips and knees to lower the body onto a seat
9,push through the hips and knees to raise the body off a seat
10,strike the open palms together repeatedly at chest height
11,tilt the head down toward a held object and keep the hands still
12,tilt the head down and move the fingers in small repeated strokes over a surface
13,grip a sheet with both hands and pull the arms apart sharply
14,pull both arms back through openings and settle a garment onto the shoulders
15,pull both arms back out of openings and lower a garment away from the shoulders
16,bend forward and guide an object onto the foot with both hands
17,bend forward and pull an object off the foot with both hands
18,lift the hand to the face and settle an object over the eyes
19,lift the hand to the face and pull an object away from the eyes
20,lift the hand above the head and lower an object onto the scalp
21,lift the hand to the scalp and pull an object upward off the head
22,raise both arms outward and open the chest
23,raise one hand above the shoulder and swing it side to side
24,swing the leg forward from the hip toward a low target
25,move the hand to the hip and press it against the body
26,keep one foot lifted and bounce on the other repeatedly
27,bend the knees then push off the ground with both feet
28,lift the hand to the ear and hold it steady there
29,keep both elbows bent near the waist with small finger movements
30,keep both hands low and tap the fingers down repeatedly in front of the body
31,extend the arm forward and straighten one finger outward
32,extend the arm forward and angle a held object back toward the face
33,bend the elbow and bring the wrist close to the face briefly
34,press the palms together and slide them back and forth repeatedly
35,"tilt the head and upper spine forward then return upright, repeatedly"
36,turn the head side to side repeatedly without moving the spine
37,press the open hand against the face and slide it side to side
38,raise one hand to the side of the head and hold it briefly
39,bring both palms together in front of the chest and hold
40,cross both forearms in front of the chest and hold them still
41,pull the head back sharply and bring a hand toward the face
42,shift the whole spine side to side while moving forward unevenly
43,buckle at the knees suddenly and drop the whole body toward the ground
44,press the hand flat against the top of the head and hold
45,press the hand flat against the front of the chest and hold
46,reach behind and press the hand flat against the lower spine and hold
47,press the hand flat against the front of the throat and hold
48,bend the torso forward sharply with the mouth open
49,move a held object back and forth in front of the face repeatedly
50,swing the fist forward toward another person's head
51,swing the leg forward toward another person's body
52,"extend both arms and press them against another person, moving them back"
53,extend the arm and tap the open hand on another person's spine repeatedly
54,extend the arm and hold one finger steady pointing at another person
55,open both arms and close them around another person's spine
56,extend the arm forward and open the fingers near another person's hand
57,extend the arm toward another person's hip and press the fingers against it
58,extend the arm and close the fingers around another person's hand
59,"step forward repeatedly, upper body upright, the distance to another person shrinking with each step"
60,"step forward repeatedly, upper body upright, the distance from another person growing with each step"
