idx,description
1,"May adjust position for stability, especially if standing or walking while drinking."
2,"Remains planted or adjusts position for stability, especially when seated."
3,"Remains grounded or may adjust position for stability, especially if standing on one foot while brushing."
4,"Remains planted or may adjust position for stability, especially if standing while brushing hair."
5,Could also shift position for stability or to avoid the falling object
6,"Can adjust position for stability, especially if balancing on one foot while picking up the object."
7,"Provides stability and balance during the throwing motion, often pivoting or pushing off the ground for additional power."
8,"Can adjust position for stability, often remaining flat on the ground or lifting slightly as the weight shifts."
9,"Pushes against the ground to provide leverage for standing, with the heel often lifting first followed by the rest of the foot."
10,"Typically remains planted on the ground, providing stability while clapping."
11,"Typically remains in place, supporting the leg and body while reading."
12,"Generally remains in place, supporting the leg and body while writing."
13,"Generally remains in place, providing support to the leg and body during the activity."
14,"Usually remains planted on the ground, providing stability while putting on the jacket."
15,"Usually remains planted on the ground, providing stability while taking off the jacket."
16,"Slides into the shoe, pressing against the heel and toe to ensure a snug fit."
17,"Slides out of the shoe, with the heel lifting first followed by the rest of the foot."
18,"Typically remains in place, providing support to the leg and body while putting on the glasses."
19,"Typically remains in place, providing support to the leg and body while taking off the glasses."
20,"Typically remains in place, providing support to the leg and body while putting on the hat or cap."
21,"Typically remains in place, providing support to the leg and body while taking off the hat or cap."
22,May tap or stomp in excitement or happiness.
23,"Typically remains in place, providing support to the leg and body during the waving motion."
24,"Strikes the object with force, then retracts quickly to maintain balance and prepare for the next movement."
25,"Typically remains in place, providing support to the leg and body while reaching into the pocket."
26,"Lifts off the ground, providing the push needed for the hop, then lands again to absorb the impact."
27,"Pushes off the ground with force, providing the main thrust for the jump."
28,"Typically remains in place, providing support to the leg and body during the call."
29,"Typically remains in place, providing support to the leg and body while using the phone or tablet."
30,"Typically remains in place, providing support to the leg and body while typing."
31,"Typically remains in place, providing support to the leg and body while pointing."
32,"Typically remains in place, providing support to the leg and body while taking the selfie."
33,"Typically remains in place, providing support to the leg and body while checking the time."
34,"Typically remains in place, providing support to the leg and body during the action."
35,"Typically remains in place, providing support to the leg and body during the action."
36,"Typically remains in place, providing support to the leg and body during the action."
37,"Typically remains in place, providing support to the leg and body while wiping the face."
38,"Typically remains in place, providing support to the leg and body during the salute."
39,"Typically remains in place, providing support to the leg and body during the action."
40,"Typically remains in place, providing support to the leg and body during the action."
41,"Typically remains in place, providing support to the leg and body during the action."
42,Can land awkwardly or stumble as the person attempts to walk or stand.
43,Often loses contact with the ground or may land awkwardly as the person begins to fall.
44,"Generally remains in place, providing support while the person tries to find relief from the headache."
45,"Generally remains in place, providing support while the person deals with the chest pain."
46,"Generally remains in place, providing support while the person deals with the back pain."
47,"Generally remains in place, providing support while the person deals with the neck pain."
48,"Generally remains in place, providing support while the person deals with nausea or vomiting."
49,"Typically remains in place, providing support to the leg and body while fanning."
50,"Typically remains grounded to provide a solid base, but may pivot or shift weight depending on the movement."
51,"Strikes the target with the desired force, whether with the ball, instep, or heel, depending on the type of kick."
52,"Provides the foundation for the leg to push against the ground, ensuring balance and support during the action."
53,"Typically remains in place, providing support to the leg and body while patting someone on the back."
54,"Typically remains in place, providing support to the leg and body while pointing."
55,"Typically remains in place, providing support to the leg and body during the hug."
56,"Typically remains in place, providing support to the leg and body during the action of giving the object."
57,"Typically remains in place, providing support to the leg and body during the action of touching the pocket."
58,"Typically remains in place, providing support to the leg and body during the handshake."
59,"Makes contact with the ground, pushing off to take the next step in the walking motion."
60,"Makes contact with the ground, providing support and propulsion for each step taken apart."
