idx,description
1,Maintains balance and stability while drinking
2,Provides stability and balance while seated or standing during the meal
3,Maintains balance and stability while standing at the sink
4,Provides stability and balance while standing or sitting during brushing
5,May shift slightly in reaction to the movement of the arm
6,May shift slightly to provide balance and support during the motion of picking up the object
7,Rotates slightly to transfer power from the lower body to the throwing arm
8,Bends at the hip joint to lower the torso toward the seat
9,"Straightens as the body lifts, providing support and stability"
10,"Usually remains stationary during clapping, providing stability to the upper body"
11,Maintains a comfortable sitting or standing position while reading
12,"Typically remains stationary, providing stability while seated or standing"
13,"Often remains stationary, providing stability to the upper body during the tearing process"
14,May shift slightly to accommodate the movement of the arms and shoulders as the jacket is put on
15,May shift slightly to accommodate the movement of the arms and shoulders as the jacket is taken off
16,"Often remains stable, providing a solid base for the body during the shoe-putting process"
17,"Often remains stable, providing a solid base for the body during the shoe removal process"
18,"Generally remains stationary, providing stability to the upper body during the process"
19,"Generally remains stationary, providing stability to the upper body during the process"
20,"Often remains stationary, providing stability to the upper body during the process"
21,"Often remains stationary, providing stability to the upper body during the process"
22,May sway or move rhythmically in excitement
23,"Generally remains stationary, providing stability to the upper body"
24,Rotates slightly to provide power and momentum to the kicking leg
25,"Often remains stable, providing a base for the arm to reach into the pocket"
26,Moves in coordination with the leg to provide propulsion and stability
27,Bends slightly to provide power and momentum for the jump
28,"Often remains stationary, providing stability to the upper body during the call"
29,"Often remains stationary, providing stability to the upper body"
30,"Often remains stationary, providing stability to the upper body"
31,"Often remains stable, providing a base for the arm to move freely"
32,"Often remains stable, providing a base for the body while taking the photo"
33,"Generally remains stable, providing a base for the body during the action"
34,"Generally remains stable, providing a base for the upper body"
35,"Often remains stable, providing a base for the upper body"
36,"Often remains stable, providing a base for the upper body"
37,"Often remains stationary, providing stability to the upper body during the wiping process"
38,"Generally remains stationary, providing stability to the upper body during the salute"
39,"Typically remains stable, providing a base for the upper body"
40,"Often remains stable, providing a base for the upper body"
41,"Typically remains stable, providing a base for the upper body during the sneeze or cough"
42,Often shifts from side to side as the body struggles to maintain equilibrium
43,Typically shifts suddenly as the body begins to lose stability
44,"Often remains stable, providing support to the upper body during discomfort"
45,"Often remains stable, providing a base for the upper body during discomfort"
46,"Often remains stable, providing a base for the upper body during discomfort"
47,"Often remains stable, providing a base for the upper body during discomfort"
48,"Often remains stable, providing a base for the upper body during the episode"
49,"Often remains stable, providing a base for the upper body during the fanning motion"
50,"May rotate or shift slightly to add force to the punch or slap, especially for punches delivered with the entire body"
51,"Rotates to generate power for the kick, especially in kicks that involve the entire body"
52,May shift slightly forward or to the side to add power to the push
53,"Often remains stable, providing a base for the upper body during the action"
54,"Often remains stable, providing a base for the upper body during the action"
55,May tilt slightly forward to bring the body closer during the hug
56,"Often remains stable, providing a base for the upper body during the action"
57,"Often remains stable, providing a base for the upper body during the action"
58,"Often remains stable, providing a base for the upper body during the handshake"
59,"Moves in a gentle swaying motion, providing momentum for the steps"
60,"May sway gently to the side opposite the direction of the steps, aiding in stability"
