idx,description
1,May shift weight slightly to support the body's position
2,May shift position slightly for comfort or to support the body's weight
3,May shift weight slightly for comfort or support during brushing
4,May shift weight slightly for comfort or support during brushing
5,Might adjust position to provide stability or to move out of the way of the falling object
6,Might bend at the knee to lower the body closer to the object
7,May step forward or push off the ground to add force to the throw
8,Bends at the knee joint as the body descends into the seated position
9,"Extends at the knee joint, lifting the body's weight"
10,May slightly shift weight from one leg to the other for balance
11,"Can be crossed or resting on the ground, providing support and stability"
12,"Can be crossed or resting on the ground, providing support and stability"
13,"Can shift weight slightly for balance or stability, especially if standing while tearing paper"
14,Generally remains in place but may shift weight slightly for balance
15,Generally remains in place but may shift weight slightly for balance
16,"Lifts slightly as the foot slides into the shoe, then lowers once it's in place"
17,"Lifts slightly as the foot is pulled out of the shoe, then lowers once it's free"
18,"May shift weight slightly for balance, especially if standing or adjusting position"
19,"May shift weight slightly for balance, especially if standing or adjusting position"
20,"May shift weight slightly for balance, especially if standing or adjusting position"
21,"May shift weight slightly for balance, especially if standing or adjusting position"
22,Can jump or bounce with energy
23,"Can shift slightly for balance, especially if the waving motion is energetic"
24,"Extends forward rapidly, with the knee bending and the foot making contact with the object being kicked"
25,May slightly shift weight for balance or stability during the reaching motion
26,Extends and pushes off the ground to propel the body upwards during the hop
27,"Bends at the knee, then extends forcefully to propel the body upwards"
28,"Can be crossed or resting on the ground, providing support and stability"
29,"Can be crossed or resting on the ground, providing support and stability"
30,"Can be crossed or resting on the ground, providing support and stability"
31,Can shift weight slightly for balance or to adjust position
32,Can shift weight slightly for balance or to adjust position
33,Can shift weight slightly for balance or to adjust position
34,"Can shift slightly for comfort or balance, but typically stays in place"
35,"Can step forward or shift weight slightly for balance, especially during a deeper bow"
36,"Can shift weight slightly for balance, especially if the shaking motion is forceful"
37,"Can shift weight slightly for balance or comfort, especially if standing or adjusting position"
38,Can remain straight or may slightly bend at the knee for balance
39,Can shift weight slightly for balance or comfort
40,Can shift weight slightly for balance or comfort
41,Can shift weight slightly for balance or comfort
42,"May step unevenly or buckle under the weight, causing an unsteady gait"
43,"May buckle or give way under the weight of the body, contributing to the fall"
44,"Can adjust position for comfort, but typically stays in a resting position"
45,"Can adjust position for comfort, but typically stays in a resting position"
46,"Can adjust position for comfort, but typically stays in a resting position"
47,"Can adjust position for comfort, but typically stays in a resting position"
48,"Can adjust position for comfort or stability, but typically stays in a resting position"
49,Can shift weight slightly for balance or comfort
50,"Can provide stability and balance, with the stance adjusting depending on the force of the punch or slap"
51,"Extends forward with force, making contact with the target"
52,Can push against the ground to provide stability and power to the push
53,Can shift weight slightly for balance or comfort
54,Can shift weight slightly for balance or comfort
55,"Can shift weight slightly for balance or comfort, especially if standing"
56,"Can shift weight slightly for balance or comfort, especially if standing"
57,Can shift slightly for balance or comfort
58,Can shift weight slightly for balance or comfort
59,"Alternates in a synchronized pattern, lifting and extending to propel the body forward"
60,"Moves in a coordinated pattern with the arms, taking steps away from each other"
