idx,description
1,Tilts slightly back to allow the water to flow down the throat
2,Bends slightly forward to bring the food closer to the mouth
3,Leans over the sink to allow access to the mouth and keep toothpaste from dripping
4,May tilt slightly forward or to the side to allow better access to different sections of the hair
5,Might instinctively turn to look at the object as it falls
6,May glance down to locate the object
7,Often turns to focus on the target or the direction of the throw
8,May tilt slightly forward or remain upright as the body lowers
9,"Lifts slightly, often turning to look in the direction of movement"
10,"Generally faces forward, but may turn slightly towards the direction of the applause"
11,"Usually faces forward, with eyes scanning the text on the page or screen"
12,"Often leans slightly forward or to the side, focusing on the writing surface"
13,Might tilt slightly forward to focus on the paper being torn
14,May lean slightly forward or tilt to one side to allow the jacket to slip on more easily
15,Often remains upright or may tilt slightly forward as the jacket is removed
16,"Generally remains upright, with perhaps a slight tilt downwards to watch the process"
17,"Often remains upright, with perhaps a slight tilt downwards to watch the process"
18,Tilts slightly forward or remains upright to facilitate the placement of the glasses on the face
19,May tilt slightly forward or remain upright as the glasses are removed
20,Bends slightly forward or remains upright to position the hat correctly
21,May tilt slightly forward or remain upright as the hat is removed
22,"Lifts slightly, with a smile or a bright expression on the face"
23,Might turn slightly to acknowledge the person being waved at or to follow the motion of the hand
24,Typically remains stable and focused on the target or direction of the kick
25,May tilt slightly forward or to the side to watch the hand as it reaches into the pocket
26,"Generally stays level, with eyes focused on the direction of movement"
27,May tilt slightly upwards as the body prepares to jump
28,"Typically remains upright, with the ear positioned close to the phone's speaker"
29,May tilt slightly downwards to focus on the screen of the device
30,"Typically remains upright, with eyes focused on the screen or keyboard"
31,May turn slightly to direct attention towards the object being pointed at
32,May tilt slightly to find the best angle or position for the selfie
33,Tilts slightly downwards or to the side to glance at the watch face
34,"Often stays upright, with the eyes potentially focused on the hands or elsewhere"
35,Bows forward or tilts downward in a nodding motion
36,Moves from side to side in a horizontal motion
37,May tilt slightly to one side or lean forward to facilitate the wiping motion
38,"Tilts slightly upward or remains upright, often facing forward"
39,"Generally remains upright, with eyes potentially focused on the hands or elsewhere"
40,"Generally remains upright, with eyes potentially focused on the hands or elsewhere"
41,May tilt slightly forward or downwards as the body prepares for the sneeze or cough
42,"Might sway or tilt slightly, possibly struggling to maintain balance"
43,Often tilts backwards or to the side as the body loses balance
44,Might be held or massaged as the person tries to alleviate the pain
45,May tilt slightly forward or to the side as the person focuses on the pain or seeks help
46,May tilt slightly forward or to the side as the person tries to find a more comfortable position
47,May tilt slightly to one side or forward in an attempt to alleviate discomfort
48,May bow forward or lean over a surface in anticipation of vomiting
49,May tilt slightly back to expose the face and neck to the moving air
50,Typically remains steady or may turn slightly in the direction of the punch or slap
51,"Typically remains steady, although it may turn slightly to follow the target"
52,"Typically remains steady, although it may lean slightly forward to provide momentum"
53,Typically remains upright or may tilt slightly forward to observe the action
54,May turn slightly to direct attention toward the direction of the finger
55,May lean slightly to one side or rest against the other person's shoulder
56,May turn slightly to direct attention towards the recipient or the object being given
57,May turn slightly to observe the hand reaching towards the pocket
58,"Typically remains steady, with a slight nod or tilt forward as a sign of acknowledgment"
59,"Typically faces forward, scanning the path ahead"
60,"Generally faces forward, but may turn slightly to maintain awareness of the other person"
