idx,label
1,"""Intentional ingestion of liquid for hydration, specifically consuming water."""
2,"""Deliberate consumption of food items for nourishment or satiety."""
3,"""Oral hygiene practice involving scrubbing dental surfaces with a toothbrush."""
4,"""Grooming activity for maintaining cleanliness and neatness of head hair."""
5,"Intentionally releasing an object from grasp, causing it to fall."
6,"Securing an item into grip, enabling its elevation from the initial position."
7,"Propelling an entity through space by exerting force, aiming for distance."
8,"""Assuming a seated position for rest, focus, or engagement in activities."""
9,"""Transitioning to an erect stance from a previously relaxed posture."""
10,"""Expressing approval, enthusiasm, or celebration through rhythmic hand percussions."""
11,"""Ingesting information through visual interpretation of text, enhancing knowledge and understanding."""
12,"""Transcribing thoughts into textual format, facilitating communication and expression of ideas."""
13,"""Deliberate destruction of document, fragmenting information into unrecognizable, irretrievable pieces."""
14,"""Layering the torso with protective, thermal outerwear for climate adaptation."""
15,"""Shedding upper body garment to adjust comfort or transition environments."""
16,"""Adorning the foot for protection, comfort, or fashion by donning footwear."""
17,"""Removing foot attire to expose the foot or lower extremity."""
18,"""Procedure of positioning optical devices on the face for vision correction."""
19,"""Removing spectacles from the face for relief or visual transition."""
20,"""Act of positioning headwear for protection, style, or identity display."""
21,"""Uncovering the cranium by displacing a brimmed accessory or headgear."""
22,"""Boosting morale by displaying positivity and encouragement through body language."""
23,"""Greeting or attracting attention via oscillatory palm movements."""
24,"""Applying forceful leg movement to propel an object away."""
25,"""Intentionally accessing personal storage for retrieval or placement of items."""
26,"""Springing upward repeatedly using a single pedal extremity."""
27,"""Ascending vertically by exerting force against gravity with both lower limbs."""
28,"""Initiating or responding to auditory communication via handheld telecommunication device."""
29,"""Engaging in digital recreation via portable electronic touch-screen gadget."""
30,"""Digitally inscribing messages via key-based input, enabling swift electronic dialogues."""
31,"""Indicating a specific object or location by extending the digitus secundus."""
32,"""Capturing personal visual documentation using self-facing photographic equipment."""
33,"""Assessing temporal information by visually inspecting a wrist-mounted chronometer."""
34,"""Generating warmth or cleaning through friction by interlacing opposing palms."""
35,"""Affirmative gesture or respect display through vertical oscillation of the cranium."""
36,"""Negative response or denial conveyed via lateral skull movement."""
37,"""Grooming action aimed at removing dirt or sweat from facial area."""
38,"""Gesture of respect typically performed with an upright palm."""
39,"""Joining both metacarpus surfaces in a prayer or greeting gesture."""
40,"""Intersecting forelimbs anteriorly to signal cessation or prohibition."""
41,"""Expelling respiratory irritants, potentially spreading pathogens through aerosolized droplets."""
42,"Unsteady movement due to imbalance, often demonstrating physical distress or impairment."
43,"Rapid downward motion due to gravity, often resulting in physical contact."
44,"""Expressing discomfort by placing hand on forehead, indicating potential headache."""
45,"""Manifesting distress by clutching thoracic region, suggesting cardiac distress or gastric upset."""
46,"""Signaling lumbar discomfort through tactile engagement with dorsal area."""
47,"""Indicating cervical strain via haptic interaction with nape region."""
48,"""Experiencing gastric distress, leading to forceful ejection of stomach contents."""
49,"""Gesture recognition of hand movements manipulating a fan due to warmth."""
50,"""Delivering a forceful strike to another individual, expressing aggression or defense."""
51,"""Executing a powerful leg thrust towards another entity, indicating hostility or protection."""
52,"""Applying pressure against another being, signaling conflict or assertion."""
53,"""Affirmative gesture, conveying encouragement or approval towards another individual."""
54,"""Indicative maneuver, directing attention or accusation towards a different entity."""
55,Expressing affection and comfort by encircling another individual closely.
56,Transferring an object from one's possession to another individual's.
57,"""Making contact with another individual's personal item containment area."""
58,"""Cordial grip exchange, symbolizing mutual agreement or introduction between two entities."""
59,"""Two entities approaching each other, indicating mutual intent to interact."""
60,"""Individuals receding, signifying a disengagement or cessation of interaction."""
